,Unnamed: 0,video_like,video_forward,video_comment,goods_name,goods_whole_sale,bgm,language,genre,public_time,emotion,filename
525,525,'430512,'5447,'12429,'潘婷免洗秀发补水笔旗舰店护发素水乳精华改善毛躁护发精油便携,'8779,新学期スタート! (新学期开始!),纯音乐,Soundtrack,2013-03-20,peaceful,新学期スタート! (新学期开始!)
526,526,'874682,'18807,'35975,'小奥汀芝心腮红 猫和老鼠联名奶酪腮红盘正品裸妆自然橘色粉色9g,'92345,Pink Lipstick,英语,Pop,2018-02-18,peaceful,Pink Lipstick
527,527,'199156,'4219,'7553,'豆豆 韩国春雨茄子泥膜清洁面膜深层清洁保湿补水温和涂抹式泥膜,'14419,Like This Guy,英语,Pop,2017-11-03,happy,Like This Guy
528,528,'784141,'10301,'20592,'JOVS冰点女士家用,'1097,ナルトの日常 (鸣人的日常),纯音乐,Soundtrack,2003-03-19,happy,ナルトの日常 (鸣人的日常)
529,529,'300770,'7646,'12663,'【达人热荐】优色林小橙伞控油清爽面部防晒乳50mlSPF50+防紫外线,'4964,When I'm Ready,其他,Rap/HipHop,2013-05-21,sad,When I'm Ready(feat. Daz Dillinger & Soopa Fly) (Explicit)
530,530,'335441,'3966,'10870,豆豆 摇滚动物园1980氨基酸洗发水/护发素控油丰盈蓬松修护无硅油,'9206,Throwaway (SG Lewis x Clairo),英语,Electronica,2019-03-15,sad,Throwaway (SG Lewis x Clairo)
531,531,'644099,'12583,'33667,'豆豆physiciansformula PF小丸子口红同色双质感唇膏,'3547,mind games,英语,Pop,2019-05-03,happy,mind games
532,532,'156761,'2682,'7581,'豆豆 柏翠丝一创镇稳水水膜收缩毛孔提亮修护柏翠丝面膜25g*6片,'3182,あったかいんだからぁ (Acoustic),日语,Pop,2016-07-05,peaceful,あったかいんだからぁ (Acoustic)
533,533,'1174385,'41440,'56032,'完美日记天鹅绒丝绒唇釉女V08雾面哑光口红唇彩持久平价学生V01,'309083,Candy street,英语,Pop,2011-03-28,happy,Candy street
534,534,'509467,'9142,'14920,'豆豆 roopy香水沐浴露持久留香清爽型沐浴液250ml,'13055,Walking On Sunshine,英语,Pop,1985-02-14,happy,Katrina And The Waves - Walking On Sunshine
535,535,'303563,'9239,'8705,'豆豆 EviDenS伊菲丹超级面膜涂抹清洁收缩毛孔修护面膜10ml,'1402,Never On Sunday (Remastered),英语,EasyListening,1962-01-01,mad,Julie London - Never On Sunday
536,536,'636414,'16401,'22659,'御泥坊氨基酸泥浆面膜深层清洁祛粉刺黑头毛孔控油涂抹式泥膜女,'244077,Discover,英语,Pop,2009-01-01,happy,Discover
537,537,'701469,'5649,'13937,'豆豆 韩国VT黄金蜂蜜面膜补水保湿修复提亮紧致金砖面膜6片装,'7724,Lucky,纯音乐,Pop,2019-09-22,mad,Jason Mraz - Lucky
538,538,'161264,'3305,'10181,'豆豆 纽西之谜隔离霜妆前乳打底提亮肤色遮瑕隐形毛孔补水新版50g,'5150,しろつめくさ (白诘草),日语,Pop,2001-06-25,peaceful,しろつめくさ (白诘草)
539,539,'131117,'4586,'7768,'豆豆 日本Cocochi AG抗糖修护精华霜保湿补水抗老紧致精华面霜,'502,"Hi, Hi, Hi",英语,Folk,2010-12-01,sad,"Hi, Hi, Hi"
540,540,'646096,'23500,'20209,'豆豆 moonseem极地之悦唇乳乳木果液体润唇膏保湿滋润打底防干裂,'4403,BOKE,韩语,R&B,2019-02-02,sad,BOKE (BOKE)
541,541,'553525,'6530,'22897,'【仅限今日】娇韵诗光芒小瓷瓶美白淡斑面部精华液提亮肤色,'3618,Queen of the Lot,英语,SingerSongwriter,2010-04-13,mad,Queen of the Lot
542,542,'306176,'10738,'10130,'豆豆 韩国DR.MIND达克蔓神木水急救修复收缩毛孔保湿补水红水,'3506,Tape and Glue,英语,Pop,2011-07-13,happy,Tape and Glue
543,543,'162263,'2027,'7135,'Herbalessences植感哲学氨基酸洗护洗发水400ml/护发素180,'2783,Bibbidi Bobbidi Boo,英语,Pop,2013-09-18,happy,Bibbidi Bobbidi Boo
544,544,'462274,'14287,'5855,'豆豆 roopy润培护手霜女秋冬季滋润保湿补水防干裂便携小巧,'8453,The Dollhouse Dance,纯音乐,Pop,2017-06-02,happy,The Dollhouse Dance
545,545,'338866,'6806,'4982,'豆豆 日本Loomen纳米级万毛牙刷软毛细毛360度清洁口腔情侣款,'1873,氷だらけのアイスコーヒー (全是冰的冰咖啡),纯音乐,Pop,2011-08-13,happy,氷だらけのアイスコーヒー (全是冰的冰咖啡)
546,546,'364956,'6453,'6468,'豆豆 Flortte花洛莉亚四色眼影大地配色金葱闪片神仙配色日常方便,'882,The Lazy Song,英语,,2011-12-26,peaceful,Fallout 4 Main Theme
547,547,'321651,'14191,'7581,'小奥汀眼线液笔 彩色防水不晕染持久棕色胶笔极细新手初学者奥丁,'295681,When You Left Me 02,纯音乐,,2019-08-12,peaceful,When You Left Me 02
548,548,'177224,'2318,'3119,'豆豆 海肌兰女性内衣裤清洗液去污渍留香不伤手550ml,'6044,恋のエチュード,纯音乐,Soundtrack,2009-08-05,sad,恋のエチュード
549,549,'177081,'3513,'4409,'【小林制药】暖宝宝贴女宫寒贴暖身贴自发热保暖贴30片即贴礼盒,'4064,Bygone Bumps,纯音乐,Pop,2019-05-16,sad,Bygone Bumps
550,550,186.4w,27000,54000,花西子定妆散粉,,ナルトの日常 (鸣人的日常),纯音乐,Soundtrack,2003-03-19,happy,ナルトの日常 (鸣人的日常)
551,551,208.2w,6547,34000,花西子定妆散粉,,「名探偵コナン」~メインテーマ,纯音乐,Soundtrack,1996-01-25,happy,名探偵コナン メイン・テーマ (名侦探柯南 主题曲) (絶海の探偵ヴァージョン)
552,552,131.3w,3224,16000,花西子定妆散粉,,100 Ways (MK Remix),,,,mad,100 Ways (MK Remix)
553,553,4.2w,764,1648,花西子定妆散粉,,Lil Mama,英语,Pop,2015-11-06,happy,Lil Mama
554,554,104.9w,2043,10000,花西子定妆散粉,,东西,国语,Pop,2018-09-21,sad,东西 (原唱_林俊呈)
555,555,41w,4779,10000,稚优泉哑光复古正红口红小众品牌持久保湿滋润唇膏,,告白,国语,,2019-02-14,sad,告白 (原唱_沈以诚)
556,556,22.4w,1464,2500,稚优泉哑光复古正红口红小众品牌持久保湿滋润唇膏,,无法原谅,国语,Soundtrack,2011-01-01,happy,无法原谅
557,557,5.7w,213,1364,稚优泉哑光复古正红口红小众品牌持久保湿滋润唇膏,,山鬼,国语,Pop,2017-08-24,peaceful,山鬼
