,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
792,周传雄 - 黄昏,78.30255681818181,Pop,国语,2000-12-25,negative,sad,0,0,0
793,周杰伦 - 夜曲 (1),86.1328125,rock,国语,2020-02-13,,sad,0,0,0
794,周杰伦 - 烟花易冷,151.9990808823529,Pop,国语,2010-05-18,negative,sad,0,0,0
795,周杰伦 - 说好不哭（with 五月天阿信）,151.9990808823529,Pop,国语,2019-09-16,negative,sad,0,0,0
796,周深 - 大鱼,135.99917763157896,Soundtrack,国语,2016-05-20,negative,sad,0,0,0
797,喻言家 - 告白之夜 (中文填词版),135.99917763157896,Pop,国语,2019-11-18,negative,sad,0,0,0
798,四只烤翅 - 给我一首歌的时间 (四合院版片段),92.28515625,R&B,国语,2008-10-15,negative,sad,0,0,0
799,坂本昌一郎 (Jun.A) - 思い出をありがとう (谢谢你的回忆),151.9990808823529,Soundtrack,纯音乐,2013-08-30,negative,sad,0,0,0
800,夏婉安 - 渡我不渡她,99.38401442307692,rock,国语,2019-04-01,negative,sad,0,0,0
801,多雷 - 泡沫 (Swang Remix),89.10290948275862,Pop,国语,2017-11-13,negative,sad,0,0,0
802,奥華子 (おく はなこ) - 10年,83.35433467741936,Pop,日语,2019-11-13,negative,sad,0,0,0
803,妖姬、肖Music - EA7全凭感觉 (DJ版),129.19921875,hiphop,英语,2019-11-11,negative,sad,0,0,0
804,姜烨玲 - 虹之间,143.5546875,blues,,,,sad,0,0,0
805,孟颖 - 一个人挺好,103.359375,Pop,国语,2019-12-24,negative,sad,0,0,0
806,季彦霖 - 选择失忆,92.28515625,Pop,国语,2018-03-29,negative,sad,0,0,0
807,孤独诗人 - 渡我不渡她,99.38401442307692,Pop,国语,2019-01-18,negative,sad,0,0,0
808,安筱冷 - 能轻易取代始终不重要,129.19921875,hiphop,英语,2019-10-21,negative,sad,0,0,0
809,宋冬野 - 斑马，斑马,129.19921875,Folk,国语,2013-08-26,negative,sad,0,0,0
810,宋冬野 - 莉莉安,184.5703125,Folk,国语,2013-08-26,negative,sad,0,0,0
811,宋冬野 - 董小姐,117.45383522727272,Folk,国语,2012-12-27,negative,sad,0,0,0
812,宣美 (선미) - 사이렌(Siren),123.046875,rock,,,,sad,0,0,0
813,小咪 - 我走后,117.45383522727272,blues,国语,2019-06-10,negative,sad,0,0,0
814,小星星Aurora - 坠落星空,112.34714673913044,Electronica,国语,2019-03-11,negative,sad,0,0,0
815,庄心妍 - 不安,89.10290948275862,Pop,国语,2018-05-20,negative,sad,0,0,0
816,庞宁 - 笨拙的想把所有温柔都给你,143.5546875,blues,国语,2020-05-20,negative,sad,0,0,0
817,张泽熙 - 那个女孩,143.5546875,Pop,国语,2018-08-11,negative,sad,0,0,0
818,张紫豪 - 可不可以,135.99917763157896,Pop,国语,2018-05-03,negative,sad,0,0,0
819,张靓颖 - 只是没有如果,95.703125,Soundtrack,国语,2016-04-15,negative,sad,0,0,0
820,张靓颖 _ 李荣浩 - 女儿国,107.666015625,Soundtrack,国语,2017-12-04,negative,sad,0,0,0
821,彭十六 - 戏影,143.5546875,Pop,国语,2019-05-13,negative,sad,0,0,0
822,徐佳莹 - 身骑白马,129.19921875,Pop,国语,2009-05-29,negative,sad,0,0,0
823,徐良 _ 小凌 - 坏女孩,129.19921875,Pop,国语,2011-12-26,negative,sad,0,0,0
824,房东的猫 - 云烟成雨,75.99954044117645,Folk,国语,2017-10-19,negative,sad,0,0,0
825,新南 - 泡沫 (Swang Remix),172.265625,Pop,国语,2017-11-13,negative,sad,0,0,0
826,明歆悦 - 离歌 (女声版片段),66.25600961538461,blues,,,,sad,0,0,0
827,明洋 - 五月雨变奏电音 (Remix),161.4990234375,pop,纯音乐,2019-10-15,negative,sad,0,0,0
828,春磊 - 烟花易冷 (片段),135.99917763157896,Pop,国语,2010-05-18,negative,sad,0,0,0
829,春磊 - 雨纷纷 旧故里草木深 (live片段),129.19921875,metal,,,,sad,0,0,0
830,是耀温顺 - 2020硬曲,123.046875,hiphop,纯音乐,2020-02-07,negative,sad,0,0,0
831,是耀温顺 - Okok (DJ版片段),117.45383522727272,hiphop,纯音乐,2020-03-10,negative,sad,0,0,0
832,是耀温顺 - 淡若清风,129.19921875,hiphop,纯音乐,2020-02-19,negative,sad,0,0,0
833,曲肖冰 - 天亮以前说再见,80.74951171875,Pop,国语,2019-01-04,negative,sad,0,0,0
834,曾轶可 - 三的颜色,112.34714673913044,Pop,国语,2018-05-08,negative,sad,0,0,0
835,曾轶可 - 私奔,129.19921875,Pop,国语,2018-01-17,negative,sad,0,0,0
836,李俊杰、婷汐 - 别让我放不下,117.45383522727272,Pop,国语,2018-06-02,negative,sad,0,0,0
837,李常超(Lao乾媽) - 盗墓笔记·十年人间,151.9990808823529,Pop,国语,2018-07-31,negative,sad,0,0,0
838,李浩天 - 哒哒KT,123.046875,Pop,纯音乐,2020-04-21,negative,sad,0,0,0
839,李荣浩 - 年少有为,129.19921875,Pop,国语,2018-10-17,negative,sad,0,0,0
840,李荣浩 - 耳朵,123.046875,Pop,国语,2018-10-17,negative,sad,0,0,0
